[2026-03-16 14:09:27] GAME CREATED
[2026-03-16 14:09:32] PLAYER JOINED: rs as red
[2026-03-16 14:09:36] PLAYER JOINED: ly as blue
[2026-03-16 14:09:39] PLAYER START: ly (blue)
[2026-03-16 14:09:41] PLAYER START: rs (red)
[2026-03-16 14:09:41] GAME START: turn order ['red', 'blue']
[2026-03-16 14:10:02] MOVE #77: rs (red) 117->106 [0.19ms]
[2026-03-16 14:10:02] MOVE #78: ly (blue) 18->20 [0.04ms]
[2026-03-16 14:10:02] MOVE #79: rs (red) 103->91 [0.04ms]
[2026-03-16 14:10:02] MOVE #80: ly (blue) 20->18 [0.05ms]
[2026-03-16 14:10:03] MOVE #81: rs (red) 119->120 [0.04ms]
[2026-03-16 14:10:03] MOVE #82: ly (blue) 3->6 [0.05ms]
[2026-03-16 14:10:03] MOVE #83: rs (red) 102->103 [0.05ms]
[2026-03-16 14:10:03] MOVE #84: ly (blue) 70->60 [0.05ms]
[2026-03-16 14:10:04] MOVE #85: rs (red) 94->114 [0.05ms]
[2026-03-16 14:10:04] MOVE #86: ly (blue) 15->38 [0.04ms]
[2026-03-16 14:10:04] MOVE #87: rs (red) 112->90 [0.06ms]
[2026-03-16 14:10:04] MOVE #88: ly (blue) 18->30 [0.08ms]
[2026-03-16 14:10:05] MOVE #89: rs (red) 106->104 [0.13ms]
[2026-03-16 14:10:05] MOVE #90: ly (blue) 26->13 [0.05ms]
[2026-03-16 14:10:05] MOVE #91: rs (red) 104->79 [0.06ms]
[2026-03-16 14:10:05] MOVE #92: ly (blue) 19->20 [0.12ms]
[2026-03-16 14:10:06] MOVE #93: rs (red) 68->78 [0.08ms]
[2026-03-16 14:10:06] MOVE #94: ly (blue) 30->42 [0.09ms]
[2026-03-16 14:10:06] MOVE #95: rs (red) 91->68 [0.06ms]
[2026-03-16 14:10:07] MOVE #96: ly (blue) 60->59 [0.05ms]
[2026-03-16 14:10:07] MOVE #97: rs (red) 79->117 [0.06ms]
[2026-03-16 14:10:07] MOVE #98: ly (blue) 59->60 [0.05ms]
[2026-03-16 14:10:07] MOVE #99: rs (red) 114->112 [0.05ms]
[2026-03-16 14:10:08] MOVE #100: ly (blue) 6->7 [0.08ms]
[2026-03-16 14:10:08] MOVE #101: rs (red) 120->119 [0.07ms]
[2026-03-16 14:10:08] MOVE #102: ly (blue) 14->26 [0.08ms]
[2026-03-16 14:10:08] MOVE #103: rs (red) 105->114 [0.08ms]
[2026-03-16 14:10:09] MOVE #104: ly (blue) 0->1 [0.05ms]
[2026-03-16 14:10:09] MOVE #105: rs (red) 114->113 [0.08ms]
[2026-03-16 14:10:09] MOVE #106: ly (blue) 13->25 [0.08ms]
[2026-03-16 14:10:09] MOVE #107: rs (red) 117->114 [0.08ms]
[2026-03-16 14:10:10] MOVE #108: ly (blue) 7->9 [0.05ms]
[2026-03-16 14:10:10] MOVE #109: rs (red) 112->104 [0.07ms]
[2026-03-16 14:10:10] MOVE #110: ly (blue) 60->79 [0.07ms]
[2026-03-16 14:10:10] MOVE #111: rs (red) 119->118 [0.06ms]
[2026-03-16 14:10:11] MOVE #112: ly (blue) 1->0 [0.08ms]
[2026-03-16 14:10:11] MOVE #113: rs (red) 116->117 [0.08ms]
[2026-03-16 14:10:11] MOVE #114: ly (blue) 29->40 [0.06ms]
[2026-03-16 14:10:11] MOVE #115: rs (red) 104->102 [0.07ms]
[2026-03-16 14:10:12] MOVE #116: ly (blue) 25->27 [0.07ms]
[2026-03-16 14:10:12] MOVE #117: rs (red) 78->77 [0.06ms]
[2026-03-16 14:10:12] MOVE #118: ly (blue) 38->37 [0.07ms]
[2026-03-16 14:10:13] MOVE #119: rs (red) 69->88 [0.06ms]
[2026-03-16 14:10:13] MOVE #120: ly (blue) 27->39 [0.09ms]
[2026-03-16 14:10:13] MOVE #121: rs (red) 102->111 [0.06ms]
[2026-03-16 14:10:13] MOVE #122: ly (blue) 9->5 [0.12ms]
[2026-03-16 14:10:14] MOVE #123: rs (red) 111->87 [0.08ms]
[2026-03-16 14:10:14] MOVE #124: ly (blue) 42->52 [0.13ms]
[2026-03-16 14:10:14] MOVE #125: rs (red) 68->91 [0.05ms]
[2026-03-16 14:10:14] MOVE #126: ly (blue) 79->78 [0.09ms]
